"User ID","First Name","Last Name","Employee ID","Date","In","Out","Short","OT","LeaveType","Work code","Day type"
"2","Franklin","Moris","1-00001","01/04/2026","08:17","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","01/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","01/04/2026","13:00","17:00","","","None","","Workday"
"5","Elena","Santos","1-00004","01/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","01/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","01/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","01/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","01/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","01/04/2026","13:00","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","01/04/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","02/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","02/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","02/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","02/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","02/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","02/04/2026","13:00","17:00","","","None","","Workday"
"8","Roberto","Lim","1-00007","02/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","02/04/2026","09:00","15:00","","","None","OB","Workday"
"10","James","Villanueva","1-00009","02/04/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","02/04/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","03/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","03/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","03/04/2026","13:00","17:00","","","None","","Workday"
"5","Elena","Santos","1-00004","03/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","03/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","03/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","03/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","03/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","03/04/2026","13:00","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","03/04/2026","08:00","18:30","","1.5","None","","Workday"
"2","Franklin","Moris","1-00001","04/04/2026","","","","","None","","Restday"
"3","Gwen Atasha","Lumagbas","1-00002","04/04/2026","","","","","None","","Restday"
"4","Maron","Javier","1-00003","04/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","04/04/2026","","","","","None","","Restday"
"6","Miguel","Reyes","1-00005","04/04/2026","","","","","None","","Restday"
"7","Ana","Cruz","1-00006","04/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","04/04/2026","","","","","None","","Restday"
"9","Maria","Gonzales","1-00008","04/04/2026","","","","","None","","Restday"
"10","James","Villanueva","1-00009","04/04/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","04/04/2026","","","","","None","","Restday"
"2","Franklin","Moris","1-00001","05/04/2026","","","","","None","","Restday"
"3","Gwen Atasha","Lumagbas","1-00002","05/04/2026","","","","","None","","Restday"
"4","Maron","Javier","1-00003","05/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","05/04/2026","","","","","None","","Restday"
"6","Miguel","Reyes","1-00005","05/04/2026","","","","","None","","Restday"
"7","Ana","Cruz","1-00006","05/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","05/04/2026","","","","","None","","Restday"
"9","Maria","Gonzales","1-00008","05/04/2026","","","","","None","","Restday"
"10","James","Villanueva","1-00009","05/04/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","05/04/2026","","","","","None","","Restday"
"2","Franklin","Moris","1-00001","06/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","06/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","06/04/2026","13:00","17:00","","","None","","Workday"
"5","Elena","Santos","1-00004","06/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","06/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","06/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","06/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","06/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","06/04/2026","13:00","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","06/04/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","07/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","07/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","07/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","07/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","07/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","07/04/2026","13:00","17:00","","","None","","Workday"
"8","Roberto","Lim","1-00007","07/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","07/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","07/04/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","07/04/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","08/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","08/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","08/04/2026","","","","","SL","","Workday"
"5","Elena","Santos","1-00004","08/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","08/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","08/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","08/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","08/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","08/04/2026","13:00","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","08/04/2026","08:17","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","09/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","09/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","09/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","09/04/2026","","","","","VL","","Workday"
"6","Miguel","Reyes","1-00005","09/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","09/04/2026","13:00","17:00","","","None","","Workday"
"8","Roberto","Lim","1-00007","09/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","09/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","09/04/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","09/04/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","10/04/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","10/04/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","10/04/2026","13:00","17:00","","","None","","Workday"
"5","Elena","Santos","1-00004","10/04/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","10/04/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","10/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","10/04/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","10/04/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","10/04/2026","13:12","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","10/04/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","11/04/2026","","","","","None","","Restday"
"3","Gwen Atasha","Lumagbas","1-00002","11/04/2026","","","","","None","","Restday"
"4","Maron","Javier","1-00003","11/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","11/04/2026","","","","","None","","Restday"
"6","Miguel","Reyes","1-00005","11/04/2026","","","","","None","","Restday"
"7","Ana","Cruz","1-00006","11/04/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","11/04/2026","","","","","None","","Restday"
"9","Maria","Gonzales","1-00008","11/04/2026","","","","","None","","Restday"
"10","James","Villanueva","1-00009","11/04/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","11/04/2026","","","","","None","","Restday"
"2","Franklin","Moris","1-00001","12/04/2026","","","","","None","","Restday"
"3","Gwen Atasha","Lumagbas","1-00002","12/04/2026","","","","","None","","Restday"
"4","Maron","Javier","1-00003","12/04/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","12/04/2026","","","","","None","","Restday"
"6","Miguel","Reyes","1-00005","12/04/2026","","","","","None","","Restday"
"7","Ana","Cruz","1-00006","12/04/2026","","","","","None","","Restday"
